title,genre,rating
Kishkindhapuri,Horror,6.9
Ghatikachalam,Horror,6.1
Subham,Horror,7.2
Jatadhara,Horror,3.3
Odela 2,Horror,4.6
Eesha,Horror,9.1
Kalinga,Horror,6.6
Demonte Colony 2,Horror,6.5
Geethanjali Malli Vachindi,Horror,4.7
Tantra,Horror,4.9
Mathu Vadalara 2,Comedy,8.2
Aay,Comedy,7.5
Maruthi Nagar Subramanyam,Comedy,7.2
35 Chinna Katha Kaadu,Comedy,7.8
MAD,Comedy,7.3
Janaka Aithe Ganaka,Comedy,6.5
Premante,Comedy,6.2
Mithra Mandali,Comedy,5.0
The Great Pre-Wedding Show,Comedy,7.0
Mana Shankara Varaprasad Garu,Action,5.9
The Raja Saab,Action,3.4
Akhanda 2,Action,5.5
They Call Him OG,Action,6.0
Champion,Action,6.3
Mirai,Action,7.1
Daaku Maharaaj,Action,5.9
Game Changer,Action,5.1
Kuberaa,Action,6.4
HIT: The Third Case,Action,6.9
Couple Friendly,Romance,6.8
Little Hearts,Romance,7.6
Telusu Kada,Romance,6.8
The Girlfriend,Romance,6.6
K-Ramp,Romance,7.1
Siddharth Roy,Romance,6.2
